Faqs	Faq_Links	Views	Topics	Last_Update	Featured
How do I log in to Digital Theatre+ ?	https://mtu.libanswers.com/faq/401634	30	['Library Collection']	Jan 05, 2024	No
What are the hours of Library Services? Study Spaces?	https://mtu.libanswers.com/faq/290408	1153	['3D Printing', 'Circulation', 'Facility', 'Interlibrary Loan (ILL)', 'IT-Help', 'Library Building']	Sep 19, 2023	Yes
How do I request and pickup physical materials from the library?	https://mtu.libanswers.com/faq/290592	257	['COVID-19']	Aug 31, 2023	Yes
How can I embed library content in my Canvas course?	https://mtu.libanswers.com/faq/281644	79	['Canvas', 'Library Instruction']	Aug 31, 2023	Yes
How do I borrow or return a laptop?	https://mtu.libanswers.com/faq/332996	110	['Circulation', 'COVID-19', 'Technology']	Aug 31, 2023	Yes
How do I get IT Help?	https://mtu.libanswers.com/faq/291066	149	['IT-Help', 'Technology']	Aug 31, 2023	Yes
Can I use the computers and printers in the library?	https://mtu.libanswers.com/faq/290421	349	['COVID-19', 'IT-Help']	Aug 31, 2023	Yes
Can I access my book on course reserve? What if I'm off campus?	https://mtu.libanswers.com/faq/290416	84	['Course Reserve']	May 25, 2023	Yes
Where can I print my poster?	https://mtu.libanswers.com/faq/291027	76	['Technology']	Sep 06, 2022	Yes
How do I get research/reference help?	https://mtu.libanswers.com/faq/290426	337	['COVID-19', 'Library Research', 'Student Research Consultants (SRCs)']	Sep 06, 2022	Yes
What is curbside pickup?	https://mtu.libanswers.com/faq/312071	239	['Circulation', 'Interlibrary Loan (ILL)']	Sep 06, 2022	Yes
How do I access journals and databases from off-campus?	https://mtu.libanswers.com/faq/271875	153	['Library Research']	Sep 06, 2022	No
Where is the Carillon and are there tours available?	https://mtu.libanswers.com/faq/372628	54	['Alumni', 'Library Building']	Jul 26, 2022	No
Where are the class yearbooks for Michigan Tech?	https://mtu.libanswers.com/faq/373205	54	['Alumni', 'Archives']	Jul 26, 2022	No
How do I sign up for the Grammarly 60-day premium membership?	https://mtu.libanswers.com/faq/358021	137	NaN	Oct 25, 2021	No
How do I return physical materials I have?	https://mtu.libanswers.com/faq/294437	249	['Circulation', 'COVID-19', 'Interlibrary Loan (ILL)']	Jun 24, 2021	Yes
Is there Course Reserve in the Library this spring?	https://mtu.libanswers.com/faq/323732	25	['Course Reserve']	Jan 18, 2021	No
Do you allow for overnight prints?	https://mtu.libanswers.com/faq/336154	49	['3D Printing']	Jan 13, 2021	No
How do I 3d print in the library?	https://mtu.libanswers.com/faq/335087	53	['3D Printing']	Jan 05, 2021	No
Do I need to make an appointment to meet with a Student Research Consultant (SRC)?	https://mtu.libanswers.com/faq/145605	30	['Library Research', 'Student Research Consultants (SRCs)']	Nov 12, 2020	No
Do I need a library card to borrow books and media from the library?	https://mtu.libanswers.com/faq/279059	74	['Circulation', 'Library Collection', 'Library Research', 'Standards']	Nov 12, 2020	No
"How do I access ""The Chronicle of Higher Education""?"	https://mtu.libanswers.com/faq/99200	52	NaN	Jun 04, 2020	No
How do I log in to MyMeLCat account?	https://mtu.libanswers.com/faq/285939	67	['Interlibrary Loan (ILL)']	Mar 12, 2020	No
How do I schedule an appointment with a librarian or archivist?	https://mtu.libanswers.com/faq/145606	65	['Archives', 'Citation Management', 'Library Instruction', 'Library Research', 'Standards']	Jan 27, 2020	No
I have questions about inputting data in my Digital Measures account. Who can I contact?	https://mtu.libanswers.com/faq/281641	37	['Digital Measures']	Jan 27, 2020	No
I’m interested in affordable textbook or course material options for my students or maybe creating my own text. Can the library help?	https://mtu.libanswers.com/faq/281638	67	['Open Educational Resources (OERs)']	Jan 27, 2020	Yes
I need books or articles but the library doesn't have them?	https://mtu.libanswers.com/faq/271877	91	['Interlibrary Loan (ILL)', 'Library Research']	Jan 27, 2020	No
Are there any job openings at the library?	https://mtu.libanswers.com/faq/278883	132	NaN	Dec 09, 2019	Yes
I have library research or reference questions. Who can I contact?	https://mtu.libanswers.com/faq/271876	55	['Library Research']	Nov 22, 2019	No
How do I get library research help from home?	https://mtu.libanswers.com/faq/115913	41	['Library Research']	Nov 22, 2019	No
Does Michigan Tech have a digital repository?	https://mtu.libanswers.com/faq/117120	57	['Digital Commons', 'Library Research']	Nov 21, 2019	No
What is an SRC?	https://mtu.libanswers.com/faq/115914	52	['Library Research', 'Student Research Consultants (SRCs)']	Nov 21, 2019	No
What is Interlibrary Loan?	https://mtu.libanswers.com/faq/87814	97	['Interlibrary Loan (ILL)']	Nov 21, 2019	No
What is Course Reserve?	https://mtu.libanswers.com/faq/115916	53	['Course Reserve']	Nov 21, 2019	No
What is microfilm or microfiche?	https://mtu.libanswers.com/faq/118397	45	NaN	Nov 21, 2019	No
How do I access SAE Technical Papers?	https://mtu.libanswers.com/faq/115663	56	['Library Research']	Nov 21, 2019	No
When are the library workshops?	https://mtu.libanswers.com/faq/145689	49	['Workshops']	Nov 21, 2019	No
What does peer-reviewed mean?	https://mtu.libanswers.com/faq/116904	44	['Library Research']	Nov 21, 2019	No
How do I find sources without using Google?	https://mtu.libanswers.com/faq/145996	69	['Google', 'Library Research']	Nov 21, 2019	No
